CLT	DSS	LbGP	MeanDecreaseAccuracy	MeanDecreaseGini
OTU000051	0.0276551587301587	0.00725396825396825	0.0105952380952381	0.0144789642289255	0.512598321211883
OTU000033	0.0105845238095238	0.0199214285714286	0.00339047619047619	0.0109578747619769	0.42425268167156
OTU000131	0.0197166666666667	0.00484761904761905	0.0094	0.0105564183365654	0.420827321475588
OTU000021	0.0066702380952381	0.0148011904761905	0.00785	0.00993045769589887	0.37855748510338
OTU000036	0.00588849206349206	0.0160666666666667	0.00911666666666667	0.00975999494141909	0.353332444184858
OTU000063	0.00553452380952381	0.0154489898989899	0.00673333333333333	0.00941048852248543	0.359555077559706
OTU000006	0.00773531746031746	0.0164321428571429	0.00337619047619048	0.00910158420011361	0.393341058738473
OTU000068	0.00795476190476191	0.0153214285714286	0.00317380952380952	0.00897060632865587	0.36743646829399
OTU000039	0.00486904761904762	0.0129833333333333	0.00639285714285714	0.00836993006993007	0.335498526275262
OTU000119	0.0164186507936508	0.00151904761904762	0.00751666666666667	0.00836940432718297	0.375802360707952
OTU000044	0.00526904761904762	0.0125011904761905	0.00696666666666667	0.00823401206636501	0.358447997411485
OTU000142	0.0128440476190476	0.00367900432900433	0.00973333333333334	0.0081617756985017	0.316683771761875
OTU000012	0.0102186507936508	0.00940119047619048	0.00281904761904762	0.00786286752463223	0.362783031382976
OTU000043	0.0070734126984127	0.00911825396825397	0.00448571428571428	0.00692770958401764	0.3539236486568
OTU000003	0.00998809523809524	0.00761428571428571	0.000666666666666667	0.00683717140702435	0.298261569055703
OTU000045	0.0123654761904762	0.00429285714285714	0.00371904761904762	0.00680384501119795	0.275573024996122
OTU000042	0.00295357142857143	0.0105119047619048	0.00713333333333333	0.00678279196293902	0.336514718620746
OTU000022	0.0114416666666667	0.00290238095238095	0.00290238095238095	0.00586691568235686	0.307738199898685
OTU000189	0.00283095238095238	0.00995515873015873	0.00390238095238095	0.00557282223280675	0.258774458075525
OTU000356	0.00210079365079365	0.00388333333333333	0.0148428571428571	0.00554253475282887	0.236399622953279
OTU000019	0.00608214285714286	0.006725	4e-04	0.00482666134604989	0.206453278572285
OTU000020	0.00346507936507937	0.00617976190476191	0.00472857142857143	0.00476987762839156	0.210078379180843
OTU000004	0.004975	0.00842380952380952	-0.000407142857142857	0.00474961851873617	0.180240943298208
OTU000054	0.00155	0.00764761904761905	0.00268333333333333	0.0040818475642005	0.171348357929643
OTU000098	0.00758452380952381	0.00165634920634921	0.0037	0.00406175319778261	0.216958848470338
OTU000073	0.00658452380952381	0.00284603174603175	0.00263333333333333	0.00393955162055007	0.196285554518191
OTU000232	0.00621825396825397	0.00322261904761905	0.00103333333333333	0.00375962584886734	0.210359859104321
OTU000011	0.00618095238095238	0.00176666666666667	0.00393333333333333	0.00375906141931684	0.238063478441608
OTU000222	0.00636666666666667	0.00447936507936508	0.000383333333333333	0.00368039036127271	0.186933158527552
OTU000216	0.0058	0.00267857142857143	0.000975	0.00356133825325002	0.159159926448419
OTU000210	-2.61904761904762e-05	0.00591547619047619	0.00398333333333333	0.00354511346496641	0.177404827726702
OTU000058	0.00531904761904762	0.00329047619047619	0.0013	0.0035159965034965	0.185416960897727
OTU000040	0.0050797619047619	-0.000577380952380952	0.00928333333333333	0.00350089640751405	0.207219194701429
OTU000188	0.00592619047619048	0.00336428571428571	0.00139047619047619	0.00345951393377864	0.154480113111215
OTU000170	0.00217857142857143	0.00615238095238095	0.00188333333333333	0.00333260611937083	0.162383993673435
OTU000376	0.005375	0.00195238095238095	0.003	0.00324484298381357	0.187218184417327
OTU000374	0.00629880952380952	0.000625	0.00341666666666667	0.00318463021756365	0.180744774190324
OTU000014	0.00242619047619048	0.00516237373737374	0.00188333333333333	0.00316468253968254	0.145880096133985
OTU000149	0.000348809523809524	0.00564372294372294	0.00455238095238095	0.00311616031027796	0.134293282852339
OTU000083	5e-04	0.00133849206349206	0.0111333333333333	0.00308425985778927	0.188205138684903
OTU000145	0.00161785714285714	0.00587857142857143	0.000654761904761905	0.002996597167882	0.191444647879949
OTU000132	0.00118333333333333	0.00440595238095238	0.00283333333333333	0.00299295259264299	0.181961244183248
OTU000023	0.00381428571428571	0.00272142857142857	0.00148333333333333	0.00291892911010558	0.163234216643923
OTU000057	0.00143690476190476	0.00477380952380952	0.00283333333333333	0.00277930917122094	0.129227866475422
OTU000196	0.00254960317460317	0.0038702380952381	0.00261904761904762	0.00277646279159437	0.0991967417798546
OTU000059	0.000402380952380952	0.00241190476190476	0.0077	0.00265543035395977	0.205980217131613
OTU000130	0.00160833333333333	0.00410357142857143	0.0017	0.00264625080801551	0.100863154090549
OTU000242	0.00302142857142857	0.00384047619047619	-6.66666666666667e-05	0.00258954248366013	0.0998398772730656
OTU000026	0.00535039682539683	-0.000478571428571429	0.0025	0.00245870657120657	0.14058762753021
OTU000097	0.000775	0.00238333333333333	0.00448333333333333	0.00241070800114918	0.140325755195145
OTU000483	-0.000517857142857143	0.00516071428571428	0.0037	0.00238543123543124	0.107064660082667
OTU000179	0.00157261904761905	0.00370714285714286	0.0011	0.00235518925518926	0.133857751280641
OTU000041	0.000471428571428571	0.00296666666666667	0.00475	0.00233592559401383	0.111313196967453
OTU000181	-8.45238095238095e-05	0.00571547619047619	0.00285	0.0023335057099763	0.148894670042825
OTU000247	0.00356904761904762	0.00230119047619048	0.00107380952380952	0.00228436130862601	0.123440109843268
OTU000115	0.00199285714285714	0.00300119047619048	0.0017	0.00225303830156771	0.120907185486774
OTU000203	0.000502380952380952	0.00415238095238095	0.00236666666666667	0.0022041718902013	0.112920884950041
OTU000177	0.00466666666666667	0.000601190476190476	0.00133333333333333	0.00217220695970696	0.15482322111754
OTU000091	0.00370952380952381	-0.000333333333333333	0.00493333333333333	0.00206071428571429	0.140451638131976
OTU000034	0.00219285714285714	0.0046797619047619	-0.00245	0.00203839420383538	0.135080947847265
OTU000030	0.00282857142857143	0.000116666666666667	0.00336904761904762	0.00193335177894001	0.110879290212711
OTU000081	0.00410714285714286	0.000479365079365079	0.00170714285714286	0.00182040777849601	0.0957373040263954
OTU000140	0.00180833333333333	0.00217539682539683	0.00158333333333333	0.00178953905571553	0.113142780857487
OTU000138	0.0032797619047619	0.00115833333333333	-2.38095238095238e-05	0.00178541980894922	0.114398121054175
OTU000052	0.00278333333333333	0.00133452380952381	0.00273333333333333	0.00176416736857913	0.096921950314117
OTU000238	0.00257222222222222	4.16666666666667e-05	0.00378333333333333	0.00172809739280328	0.174695910796096
OTU000062	0.00231904761904762	0.00166071428571429	0.00125	0.00172435897435897	0.130910085030082
OTU000343	0.002875	0.0027968253968254	-0.000616666666666667	0.00172425393234217	0.08075392405934
OTU000129	0.00166666666666667	0.00247579365079365	0.00141666666666667	0.00171277023629965	0.0692968195346927
OTU000025	0.00177142857142857	0.00117619047619048	0.00185	0.00169701213818861	0.0418059510265712
OTU000118	0.00194285714285714	0.00197857142857143	0.00145	0.00168938177835237	0.0834155515238274
OTU000109	0.002575	0.0012	0.000583333333333333	0.00167649752208576	0.15862148780698
OTU000055	0.000569047619047619	0.00321785714285714	0.00121666666666667	0.00166346153846154	0.10377837259232
OTU000357	1.07142857142857e-05	0.00347738095238095	0.00145	0.00159257164404223	0.117837338815554
OTU000079	0.00215555555555556	0.00186785714285714	0.00045	0.00154124111182935	0.069571872727034
OTU000029	0.0011484126984127	0.00105238095238095	0.00285	0.00151781135531135	0.0923433281939938
OTU000160	0.00150396825396825	0.00323333333333333	-0.00075952380952381	0.0015046398046398	0.14106265009463
OTU000015	8e-04	0.00271904761904762	0.00125	0.00143522139625081	0.0663202416577408
OTU000373	0.000235714285714286	0.00245	0.002	0.00141512515262515	0.0454246753246753
OTU000133	0.00119285714285714	0.00188333333333333	0.00133333333333333	0.0013661911617794	0.0791528968033364
OTU000013	0.00155119047619048	0.000842857142857143	0.00128333333333333	0.00135815018315018	0.0592072484857223
OTU000208	0.000912698412698413	0.00163095238095238	0.0035	0.00131111829347123	0.124292785644688
OTU000110	0.00128690476190476	0.00308571428571429	-0.00133333333333333	0.00128380647130647	0.0707958414686417
