Level_3	W2_DSS_1	W2_DSS_2	W2_DSS_3	W2_DSS_4	W2_DSS_5	W2_LbGP_1	W2_LbGP_2	W2_LbGP_3	W2_LbGP_4	W2_LbGP_5
Biosynthesis of ansamycins 	91352.7	86331.6	81798.59	95338.22	123471.11	123780.73	86928.91	99180.77	93589.82	93201.55
Biosynthesis of vancomycin group antibiotics 	44537.48	41618.7	42473.82	38838.27	46022.59	48367.57	42074.98	45426.53	41496.88	41308.46
"Valine, leucine and isoleucine biosynthesis "	43746.7891	41155.2027	43599.0027	42521.5109	46329.5873	46991.4445	38907.9773	41918.5109	37760.1018	39304.9891
Other glycan degradation 	57283.9925	56234.3138	62680.525	49144.8675	45875.7537	31221.1975	35819.5275	31695.6125	44477.77	25091.0788
D-Glutamine and D-glutamate metabolism 	33618.4567	33307.9267	33436.1133	33116.8567	41214.13	44293.36	37521.8067	40131.1233	34376.4033	38638.3667
Streptomycin biosynthesis 	42933.9867	40064.77	42832.3078	41417.8378	40020.2611	37063.0156	32804.2622	36870.3289	33491.3956	32695.2811
"Alanine, aspartate and glutamate metabolism "	37320.8663	36852.9104	37750.3285	37486.1615	39913.0433	39913.1274	34388.0119	34651.9281	33699.6433	31771.1219
Pentose phosphate pathway 	34648.5591	35816.6177	33691.1527	38904.8155	44501.12	44213.0668	34081.9741	41504.155	34474.9686	38016.7505
Peptidoglycan biosynthesis 	31238.6179	31578.7147	31721.7763	31425.1416	36328.6032	40355.2079	33272.2616	34499.5774	30811.0711	32664.5179
One carbon pool by folate 	33338.14	33376.8364	34007.5921	32802.7779	36209.8364	36743.3371	32788.4136	33186.1636	30859.6807	31053.4221
D-Alanine metabolism 	32055.5767	34758.3133	34207.08	34651.71	34261.91	33983.32	29435.6867	34848.0867	24388.13	34208.6367
Pantothenate and CoA biosynthesis 	34678.938	33507.4533	35324.874	34378.796	36220.7553	35756.0407	30659.472	33276.0113	29163.8587	31434.6133
C5-Branched dibasic acid metabolism 	36033.6483	33272.8617	36040.7967	35384.8	36798.5083	38552.7683	30647.1933	33308.0467	31319.945	31596.6483
Secondary bile acid biosynthesis 	33672.83	35500.73	35229.78	36729.28	34285.34	21391.05	24175.75	32917.59	20627.56	30900.54
Carbon fixation in photosynthetic organisms 	31703.2567	31854.955	31418.81	34066.8533	38146.585	36359.7739	30620.155	35184.0533	29560.8717	32317.0706
Fatty acid biosynthesis 	31984.3908	31944.3508	32202.6785	33286.4392	35060.6123	35743.3123	28898.8546	34283.9631	27325.9969	32274.5262
Lysine biosynthesis 	30727.288	30991.279	31019.6395	31653.3955	37120.218	38806.2355	30993.5395	33234.9485	29996.6325	31241.168
Mismatch repair 	29525.2509	29659.4443	29638.58	29303.2474	33289.9961	34618.2917	29266.0183	32408.3109	26948.9691	30715.0857
Biotin metabolism 	36725.492	34659.452	37092.848	33471.522	33793.596	28999.268	26689.28	25119.49	29646.442	22824.562
Aminoacyl-tRNA biosynthesis 	27905.0812	28124.8597	28338.76	27904.8716	32346.4997	34789.3631	29071.2328	31469.1175	26310.7684	30375.9878
Cell cycle - Caulobacter 	28001.5619	27534.2225	28118.6938	27312.9269	30181.125	32698.1256	27707.0669	28584.8831	26184.2738	27013.7869
