function	W1_CLT_1_tags	W1_CLT_2_tags	W1_CLT_3_tags	W1_CLT_4_tags	W1_CLT_5_tags	W1_DSS_1_tags	W1_DSS_2_tags	W1_DSS_3_tags	W1_DSS_4_tags	W1_DSS_5_tags	W1_LbGP_1_tags	W1_LbGP_2_tags	W1_LbGP_3_tags	W1_LbGP_4_tags	W1_LbGP_5_tags	W2_CLT_1_tags	W2_CLT_2_tags	W2_CLT_3_tags	W2_CLT_4_tags	W2_CLT_5_tags	W2_DSS_1_tags	W2_DSS_2_tags	W2_DSS_3_tags	W2_DSS_4_tags	W2_DSS_5_tags	W2_LbGP_1_tags	W2_LbGP_2_tags	W2_LbGP_3_tags	W2_LbGP_4_tags	W2_LbGP_5_tags	W3_CLT_1_tags	W3_CLT_2_tags	W3_CLT_3_tags	W3_CLT_4_tags	W3_CLT_5_tags	W3_DSS_1_tags	W3_DSS_2_tags	W3_DSS_3_tags	W3_DSS_4_tags	W3_DSS_5_tags	W3_LbGP_1_tags	W3_LbGP_2_tags	W3_LbGP_3_tags	W3_LbGP_4_tags	W3_LbGP_5_tags
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	18490.67	24008.09	12139.41	18741.75	2963.0	13912.42	26750.0	17619.0	30336.75	7606.75	21379.08	13294.42	29310.33	23027.75	29876.41	26460.17	18992.67	25076.75	34119.83	27206.08	25029.34	27254.58	31196.0	29786.41	15572.59	13428.58	15163.42	14188.91	9890.08	13632.75	7499.5	15464.58	15582.34	11738.33	9912.5	23445.75	4609.92	8383.5	8593.75	29791.25	7997.25	7964.75	24972.5	10985.0	18751.17
1.1.1.215-RXN	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
1.1.1.251-RXN	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
1.1.1.261-RXN	445.0	325.0	1604.0	4473.0	175.0	333.0	103.0	312.0	177.0	1277.0	300.0	2031.0	104.0	616.0	79.0	6625.0	45.0	9601.0	8641.0	10695.0	56.0	51.0	44.0	85.0	1846.0	1730.0	3574.0	1241.0	2694.0	1401.0	810.0	337.0	4706.0	132.0	2183.0	171.0	937.0	762.0	2698.0	170.0	1643.0	1077.0	3383.0	219.0	3106.0
1.1.1.271-RXN	5609.67	920.42	2396.08	6972.08	754.33	5363.42	19866.0	18009.33	23139.75	3635.08	12212.75	4937.75	22125.0	16707.75	25095.08	4323.17	987.67	1072.42	1218.5	1222.08	25379.67	24635.25	30287.0	27022.08	7142.92	2153.58	2968.42	6132.58	2268.75	3422.75	1229.83	1433.58	3477.67	1780.33	2978.83	20069.75	978.92	486.83	994.42	35240.92	2028.92	3789.08	4316.17	7150.0	3925.17
1.1.1.39-RXN	9221.5	22590.67	7164.33	8170.67	1912.67	9450.5	10159.0	1715.92	11502.75	2020.42	7002.08	5455.67	4690.83	7293.75	5501.33	13727.0	13700.75	13901.83	20810.83	15162.25	330.42	2987.33	869.75	2788.58	3433.92	9059.5	8333.25	7931.83	3970.58	8925.75	5202.67	13450.5	6036.42	8797.75	2480.17	3276.75	2287.75	7337.67	3190.58	703.08	3962.33	1844.17	6460.58	3754.5	10111.5
1.1.1.83-RXN	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
1.11.1.15-RXN	32993.67	47755.93	20618.570000000003	27244.59	6029.34	37719.92	75012.0	33986.84	84291.75	10286.09	45334.74	25797.26	72864.98999999999	57126.75	77539.57	31401.17	34832.17	24333.91	39103.49000000001	25860.08	56694.17999999999	59861.74000000001	66429.5	68047.07	25022.93	24441.08	21549.42	29797.070000000003	12675.74	25659.75	13999.84	33292.08	18728.18	23535.83	13191.84	56603.75	6792.92	15785.84	7911.41	82977.91	12465.41	14757.59	32266.66	24928.0	29350.17
1.12.1.3-RXN	1115.5	436.25	641.0	2106.0	354.0	10900.0	39496.5	20569.75	44905.75	4142.75	21438.5	11665.25	49209.0	33067.5	52273.75	751.5	510.25	972.25	979.25	1625.75	43231.75	39708.25	46736.75	46884.5	13100.75	4264.0	2329.0	13741.5	1873.75	7946.25	547.5	538.5	1546.5	1069.5	2628.5	39772.0	746.0	509.5	1659.5	70276.75	1430.0	960.5	1508.75	2041.0	1825.25
1.15.1.2-RXN	826.5	338.0	1816.0	5999.0	189.0	509.5	197.0	385.25	343.75	1284.75	421.75	2426.0	515.5	1157.75	435.0	7089.0	335.75	10306.5	8894.5	12134.25	62.75	60.0	60.75	91.25	1854.25	3278.5	4217.25	1265.5	2733.25	1411.75	1660.0	4495.5	4892.75	237.75	2214.5	188.75	1027.75	1604.0	2714.25	187.75	1868.0	1298.5	4135.25	1027.5	4020.5
