pathway	description	W1_CLT_1_tags	W1_CLT_2_tags	W1_CLT_3_tags	W1_CLT_4_tags	W1_CLT_5_tags	W1_DSS_1_tags	W1_DSS_2_tags	W1_DSS_3_tags	W1_DSS_4_tags	W1_DSS_5_tags	W1_LbGP_1_tags	W1_LbGP_2_tags	W1_LbGP_3_tags	W1_LbGP_4_tags	W1_LbGP_5_tags	W2_CLT_1_tags	W2_CLT_2_tags	W2_CLT_3_tags	W2_CLT_4_tags	W2_CLT_5_tags	W2_DSS_1_tags	W2_DSS_2_tags	W2_DSS_3_tags	W2_DSS_4_tags	W2_DSS_5_tags	W2_LbGP_1_tags	W2_LbGP_2_tags	W2_LbGP_3_tags	W2_LbGP_4_tags	W2_LbGP_5_tags	W3_CLT_1_tags	W3_CLT_2_tags	W3_CLT_3_tags	W3_CLT_4_tags	W3_CLT_5_tags	W3_DSS_1_tags	W3_DSS_2_tags	W3_DSS_3_tags	W3_DSS_4_tags	W3_DSS_5_tags	W3_LbGP_1_tags	W3_LbGP_2_tags	W3_LbGP_3_tags	W3_LbGP_4_tags	W3_LbGP_5_tags
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	12077.6717	5644.0819	9140.1478	15910.2734	2084.472	12971.5381	22889.4244	16854.4826	26271.3509	5737.2536	14493.7497	10929.2049	22789.0073	19040.6234	24095.6642	19729.6544	4088.0045	17151.9545	24218.1587	18633.9632	20674.22	22151.8367	25690.5686	23463.1528	10949.3941	10696.3951	11889.9284	10679.0724	6917.8395	9739.8757	5951.8988	11647.2841	10767.3302	4915.2968	6586.4428	15321.8911	3490.5951	5916.0389	5203.602	22065.8151	6244.6883	6376.7226	15934.4651	10013.1568	14707.7237
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	922.2692	433.3229	485.8711	897.8076	308.1214	10345.8373	16446.3825	2302.2439	18160.0095	447.9868	5203.5624	5103.6341	9090.5758	8712.9725	10722.5211	423.19599999999997	376.0352	5381.4073	403.8318	3883.1723	935.5344	4343.4152	2843.8353	6184.4292	970.6658	1831.4483	1227.6345	666.3386	555.721	694.7958	49.3062	66.4803	74.1246	72.8905	67.0412	486.0808	153.0823	93.44	62.2366	260.2157	87.4469	63.1102	62.388999999999996	53.809	46.9561
ANAEROFRUCAT-PWY	homolactic fermentation	14250.8767	8069.06	9970.601999999999	15993.7168	2657.5605	16208.502	28446.6645	10006.9402	31373.1617	5948.0081	21371.3552	11209.7184	23582.1061	22701.237999999998	24657.3713	19873.7825	11520.7081	15639.633	24148.485	17436.1086	13757.1946	21289.1327	17855.8105	21967.6054	12346.0688	12698.9263	12769.1393	13739.0846	7497.8887	11833.7154	6213.9685	10836.3936	10971.3583	7701.3669	6693.5093	21120.5128	3764.8979	5403.0764	5225.223	21253.9351	6735.5093	6096.6002	16429.898	10618.538999999999	15302.7922
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	18831.1212	25390.2861	11743.0216	19383.6703	3108.8458	19514.4387	37326.6178	23852.65	42770.9902	7545.221	24627.1139	14131.5115	35411.0581	29949.5525	38184.4159	23063.8822	17320.0626	19898.2336	28139.4361	21814.4487	31764.4501	34464.4378	39112.9763	37132.1355	15034.2847	14659.4455	14321.2201	16796.8928	8048.9918	14968.1302	7994.3458	18750.9618	12369.5254	12075.3045	7409.3543	27496.0011	4197.7901	9251.6197	5784.1345	38472.9004	7530.6755	7241.2792	17947.3439	13093.7114	18029.2631
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	909.3580000000001	595.0744	663.4937	1054.1842	397.0608	10030.5218	14735.258	1625.8454	15907.8848	512.3156	4192.14	6430.2753	7710.509	7694.9702	8685.5021	506.8057	410.5727	7897.3136	518.8224	6385.495	580.6543	2457.0035	1530.9892	3784.9245	1152.851	2891.9508	1685.2808	1044.0614	926.3775	1151.8691	60.0454	76.9187	92.2844	86.5133	83.9667	601.0246	210.2444	125.2133	80.8285	311.6053	111.3662	75.6948	74.1396	61.2851	55.636
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	262.5323	202.9028	164.5557	249.6102	147.1574	8267.912	10953.6173	594.0659	11563.6405	124.2343	2220.1627	3314.2871	4614.6024	4464.0382	5354.7739	114.5383	175.627	3804.1095	119.1347	2477.9468	231.6285	1288.5422	740.0643	1997.4713	288.3757	987.4762	444.2104	288.8185	233.5255	325.76099999999997	13.3746	17.445999999999998	20.3419	20.8772	18.4602	185.9799	49.7855	28.7638	17.9004	82.58	24.9421	16.8169	16.2976	13.9504	12.2358
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	10453.8325	1962.0555	5424.9225	13709.0446	1118.0639	12054.0595	23274.4143	15034.232	26271.3279	5600.4002	13346.7842	9782.446	24237.2709	18570.0336	24917.0405	15872.8959	5878.8011	16447.3538	17705.1987	17950.9421	20242.6538	20544.0762	24254.3352	23404.6479	10239.325	8967.2122	9057.7914	5621.3243	5743.7053	5035.3363	4341.8048	12477.7986	9193.1209	3206.8796	6198.9597	16787.1847	2514.018	3751.2628	5367.2189	21119.4769	4270.7055	5482.7835	17122.4743	8043.0312	10889.7855
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	11095.5306	1503.9225	5335.7771	14307.2024	868.6615	11484.4194	20454.0285	16479.9532	22970.5383	5991.6478	13916.0902	9806.5221	19136.9006	15673.7606	19851.79	16450.5688	6225.0869999999995	16998.0751	18032.4843	18453.3158	19032.3952	21003.8755	26002.884	22041.5693	10727.4659	9079.7765	9131.1695	4353.5545	5740.8106	4317.4479	4344.5444	12968.9287	9195.8185	2527.6164	6341.4267	12001.8103	2509.9755	3715.6579	5555.170999999999	14099.3314	4201.6416	4602.8868	18064.089	7243.1356	11048.2016
ARO-PWY	chorismate biosynthesis I	8710.238000000001	1519.1108	5322.9865	14957.716	1090.673	12599.9241	24302.3956	16181.6654	27268.709	5601.276999999999	13282.9711	11077.5777	23788.2963	18155.5132	24783.1735	15046.0386	3830.8325	18269.7587	14763.1582	19368.5278	20409.7287	21476.6777	26218.9817	23678.4616	10479.8605	7405.3234	8967.2922	5896.9237	6293.089	4792.5231	3654.9147	7746.8527	10375.7144	2425.28	6764.4282	14524.8122	2516.3121	2626.2740000000003	5313.539000000001	20695.5065	4530.3637	5797.3006	15710.5926	7798.9741	10146.8856
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	15394.1001	3834.5886	9516.6748	13444.3979	2086.9233	15539.0968	36451.0843	10316.0937	40521.3072	6634.9926	21169.3087	14942.9729	42219.1999	28963.2991	42759.9402	17815.7023	18631.2645	16890.9769	25124.3094	18743.2422	33903.5861	33804.685	40248.7519	39293.9638	15319.2975	13288.7622	11381.2613	11133.4208	7982.878000000001	9445.1903	7056.0259	17818.9841	12581.0993	9009.29	9449.8456	29135.9103	3676.9807	5965.9263	5871.5726	44962.7535	6287.5368	9010.6014	18727.1031	9950.8335	15507.8792
