SampleID	Group	Name	time
W1_CLT_1	W1_CLT	M21081289	W1
W1_CLT_2	W1_CLT	M21081291	W1
W1_CLT_3	W1_CLT	M21081292	W1
W1_CLT_4	W1_CLT	M21081293	W1
W1_CLT_5	W1_CLT	M21081294	W1
W1_DSS_1	W1_DSS	M21081301	W1
W1_DSS_2	W1_DSS	M21081302	W1
W1_DSS_3	W1_DSS	M21081304	W1
W1_DSS_4	W1_DSS	M21081305	W1
W1_DSS_5	W1_DSS	M21081306	W1
W1_LbGP_1	W1_LbGP	M21081295	W1
W1_LbGP_2	W1_LbGP	M21081296	W1
W1_LbGP_3	W1_LbGP	M21081298	W1
W1_LbGP_4	W1_LbGP	M21081299	W1
W1_LbGP_5	W1_LbGP	M21081300	W1
W2_CLT_1	W2_CLT	M21081307	W2
W2_CLT_2	W2_CLT	M21081309	W2
W2_CLT_3	W2_CLT	M21081310	W2
W2_CLT_4	W2_CLT	M21081311	W2
W2_CLT_5	W2_CLT	M21081312	W2
W2_DSS_1	W2_DSS	M21081319	W2
W2_DSS_2	W2_DSS	M21081320	W2
W2_DSS_3	W2_DSS	M21081321	W2
W2_DSS_4	W2_DSS	M21081322	W2
W2_DSS_5	W2_DSS	M21081323	W2
W2_LbGP_1	W2_LbGP	M21081313	W2
W2_LbGP_2	W2_LbGP	M21081315	W2
W2_LbGP_3	W2_LbGP	M21081316	W2
W2_LbGP_4	W2_LbGP	M21081317	W2
W2_LbGP_5	W2_LbGP	M21081318	W2
W3_CLT_1	W3_CLT	M21081326	W3
W3_CLT_2	W3_CLT	M21081327	W3
W3_CLT_3	W3_CLT	M21081328	W3
W3_CLT_4	W3_CLT	M21081329	W3
W3_CLT_5	W3_CLT	M21081330	W3
W3_DSS_1	W3_DSS	M21081337	W3
W3_DSS_2	W3_DSS	M21081339	W3
W3_DSS_3	W3_DSS	M21081340	W3
W3_DSS_4	W3_DSS	M21081341	W3
W3_DSS_5	W3_DSS	M21081342	W3
W3_LbGP_1	W3_LbGP	M21081331	W3
W3_LbGP_2	W3_LbGP	M21081332	W3
W3_LbGP_3	W3_LbGP	M21081333	W3
W3_LbGP_4	W3_LbGP	M21081335	W3
W3_LbGP_5	W3_LbGP	M21081336	W3
