#OTU ID	W1_CLT_1	W1_CLT_2	W1_CLT_3	W1_CLT_4	W1_CLT_5	W1_DSS_1	W1_DSS_2	W1_DSS_3	W1_DSS_4	W1_DSS_5	W1_LbGP_1	W1_LbGP_2	W1_LbGP_3	W1_LbGP_4	W1_LbGP_5	W2_CLT_1	W2_CLT_2	W2_CLT_3	W2_CLT_4	W2_CLT_5	W2_DSS_1	W2_DSS_2	W2_DSS_3	W2_DSS_4	W2_DSS_5	W2_LbGP_1	W2_LbGP_2	W2_LbGP_3	W2_LbGP_4	W2_LbGP_5	W3_CLT_1	W3_CLT_2	W3_CLT_3	W3_CLT_4	W3_CLT_5	W3_DSS_1	W3_DSS_2	W3_DSS_3	W3_DSS_4	W3_DSS_5	W3_LbGP_1	W3_LbGP_2	W3_LbGP_3	W3_LbGP_4	W3_LbGP_5
ASV_135	2138	595	1739	2723	526	16	19	26	26	42	12	24	30	22	29	1533	665	171	179	238	26	21	28	28	23	45	1163	44	1232	22	835	201	2582	1108	1517	142	551	190	123	33	1159	2910	2860	4008	2161
ASV_311	570	97	267	301	44	2	4	6	5	8	4	6	9	3	3	460	118	338	916	158	3	5	4	7	6	3	22	9	15	4	213	740	290	754	664	9	26	4	33	5	72	189	328	20	26
ASV_5782	7	5	7	5	2	16	40	2	40	4	3	2	14	12	22	3	54	3	16	16	2	3	5	9	3	5	1	19	4	14	5	164	17	11	3	13	25	8	12	3	6	27	50	13	11
ASV_15	3020	8105	1919	756	551	791	493	320	767	238	1933	216	322	1066	420	2411	4731	316	4392	453	42	681	112	424	433	1929	1424	2382	399	2730	1093	2816	353	2715	85	898	370	1792	142	146	639	182	745	887	1987
ASV_3757	721	2	93	135	18	0	3	1	0	3	0	0	0	2	6	8	0	30	7	23	0	0	0	0	0	1	1	3	2	2	0	0	17	0	35	1	0	0	0	0	0	1	0	0	0
ASV_2068	217	185	187	73	77	1	1	1	0	7	2	3	6	5	0	34	85	73	66	56	0	2	1	2	23	23	92	4	50	5	33	86	88	33	79	16	42	106	60	5	360	307	326	110	180
ASV_155	1246	353	1017	1673	309	13	6	25	14	21	7	16	18	12	18	886	354	92	105	132	12	21	11	15	14	7	670	26	696	8	393	126	1290	587	827	68	278	101	77	19	688	1546	1478	2123	1111
ASV_39	2594	6774	1633	607	525	637	397	289	661	208	1549	185	273	866	358	2014	4123	259	3683	414	41	701	116	481	508	1606	1229	1968	352	2211	1202	2981	398	2873	85	979	397	1884	156	154	682	174	791	886	1990
ASV_29	3353	57	277	3729	14	141	248	11301	1167	2074	2049	170	824	1643	1539	2815	18	528	684	235	7146	7858	10686	6273	1427	68	734	58	102	57	174	1131	161	128	124	85	90	85	75	142	125	305	864	2405	1027
ASV_2655	28	67	49	1	47	3	0	7	1	0	1	3	2	1	1	5	97	3	12	4	1	2	2	0	2	13	23	164	2	123	11	2	26	88	0	6	20	0	0	0	2	9	125	156	154
ASV_2561	128	64	232	72	97	5	7	6	3	3	1	3	5	2	0	78	210	55	215	79	0	1	1	4	4	89	37	149	59	159	86	292	39	105	80	30	52	147	6	4	217	132	269	106	165
ASV_1387	116	177	110	205	238	12	11	39	7	120	5	73	84	100	70	58	26	147	27	242	3	1	1	4	6	27	42	15	11	19	33	116	66	2	41	16	214	241	122	4	24	89	206	53	187
ASV_913	182	177	149	47	280	0	0	4	2	2	0	7	9	9	12	58	183	140	29	131	4	2	1	4	3	2	3	2	11	1	1	9	11	6	10	237	760	246	18	30	266	237	373	398	246
ASV_2492	268	47	286	194	51	13	5	108	10	133	78	57	9	87	6	336	106	105	387	157	9	10	3	7	308	145	245	60	262	42	97	219	725	209	282	28	164	32	75	11	839	856	380	174	184
