"KO","log2FoldChange","log2CPM","PValue","FDR","level","descri","text"
"K03642",-2.12095612408161,9.37746649280387,1.40887724059217e-11,3.27704846161739e-08,"DSS","rlpA; rare lipoprotein A","rlpA; rare lipoprotein A"
"K10716",-2.13506053357361,9.17121585181363,2.42338652408198e-10,2.81839852750734e-07,"DSS","kch, trkA, mthK, pch; voltage-gated potassium channel","kch, trkA, mthK, pch; voltage-gated potassium channel"
"K15580",2.04018913067259,10.7428123030572,6.71568790318183e-09,4.74121246079047e-06,"LbGP","oppA, mppA; oligopeptide transport system substrate-binding protein","oppA, mppA; oligopeptide transport system substrate-binding protein"
"K03770",-1.69751352430937,9.69310433382754,1.01917722716906e-08,4.74121246079047e-06,"DSS","ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]","ppiD; peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]"
"K11085",-1.69751352430937,9.69310433382754,1.01917722716906e-08,4.74121246079047e-06,"DSS","msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]","msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]"
"K02334",-2.64946514046272,8.72959496765448,1.28076441260487e-08,4.9650967061982e-06,"DSS","dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]","dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]"
"K01414",-2.38752263240866,8.81633142614411,4.59855280604488e-08,5.7675664929352e-06,"DSS","prlC; oligopeptidase A [EC:3.4.24.70]","prlC; oligopeptidase A [EC:3.4.24.70]"
"K10679",-2.38752263240866,8.81633142614411,4.59855280604488e-08,5.7675664929352e-06,"DSS","nfnB, nfsB; nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]","nfnB, nfsB; nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]"
"K00639",-2.04300731603885,9.76299465084044,4.85740688142971e-08,5.7675664929352e-06,"DSS","kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]","kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]"
"K19091",5.7886787967952,5.83776275965652,5.25199793455284e-08,5.7675664929352e-06,"LbGP","cas6; CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]","cas6; CRISPR-associated endoribonuclease Cas6 [EC:3.1.-.-]"
